"year","total_kms"
"1950","42636.22"
"1951","56891.69"
"1952","66767.42"
"1953","76107.21"
"1954","68291.15"
"1955","48666.72"
"1956","59336.65"
"1957","56110.24"
"1958","62295.29"
"1959","55780.69"
"1960","66106.17"
"1961","49502.11"
"1962","48042.13"
"1963","52524.04"
"1964","48374.84"
"1965","50335.20"
"1966","38874.99"
"1967","48721.57"
"1968","50819.35"
"1969","42689.05"
"1970","62190.43"
"1971","54848.37"
"1972","71589.87"
"1973","77312.73"
"1974","83105.08"
"1975","69730.30"
"1976","86392.15"
"1977","86644.25"
"1978","82667.36"
"1979","72843.00"
"1980","70149.46"
"1981","70501.36"
"1982","75163.56"
"1983","78963.78"
"1984","72388.87"
"1985","74940.80"
"1986","77083.79"
"1987","81364.83"
"1988","88571.20"
"1989","82091.88"
"1990","86751.69"
"1991","83415.83"
"1992","87064.22"
"1993","84912.23"
"1994","85093.60"
"1995","86927.05"
"1996","69209.36"
"1997","82548.57"
"1998","76842.42"
"1999","77002.69"
"2000","86927.63"
"2001","83182.12"
"2002","81872.23"
"2003","75777.19"
"2004","91501.16"
"2005","95000.47"
"2006","96401.60"
"2007","95226.35"
"2008","95698.57"
"2009","88161.37"
"2010","115874.37"
"2011","122693.01"
"2012","129489.55"
"2013","116834.79"
"2014","106265.08"
"2015","99391.03"
"2016","123592.80"
"2017","102909.68"
"2018","112083.06"
"2019","119198.96"
"2020","92827.42"
"2021","117259.03"
"2022","117966.08"
"2023","123325.73"
"2024","134884.88"
